cpu,session_count,thread_count,used_memory,client
3,556,6,80104864,10
3,657,13,69177592,10
5,704,12,80492040,11
5,751,13,67387344,10
1,767,6,74282808,10
4,897,13,80437632,10
4,1041,11,84191312,14
4,1104,15,72145144,10
4,1131,15,89017792,10
4,1157,19,87533032,13
3,1205,17,76211024,13
2,1234,22,73379816,17
3,1269,20,75039888,15
4,1295,19,91956032,12
4,1328,21,78383200,16
4,1381,19,80667104,16
4,1414,22,70870104,13
4,1450,23,97945488,16
5,1508,21,100143008,20
5,1637,33,98133464,24
5,1786,29,81768928,22
4,1860,33,107290744,21
4,1895,32,78935072,17
4,1928,31,95842640,16
4,1849,35,101472600,20
4,1788,31,95888712,19
4,1716,30,89036808,18
4,1636,38,93184720,16
3,1682,38,100241288,20
3,1669,36,94698632,16
2,1639,36,94298232,18
3,1525,38,80763400,21
4,1598,40,68117456,19
3,1591,37,70645960,16
3,1593,41,74325808,16
4,1626,40,64441952,13
3,1515,42,89800408,9
3,1407,39,92381936,6
4,1379,36,88896832,9
4,1400,44,95227288,7
4,1418,35,73823752,7
3,1390,38,96414320,7
3,1418,40,101804688,9
4,1466,37,84618512,8
4,1515,37,98102528,10
4,1580,39,94222240,10
4,1606,46,102933912,14
4,1672,43,102697888,13
3,1734,46,87050728,16
4,1730,44,103445360,20
3,1630,49,87317304,23
3,1541,47,85830752,22
4,1550,53,97547800,19
3,1586,46,76827136,15
3,1621,47,83868192,13
3,1653,50,77789128,14
3,1681,49,88008544,15
3,1690,50,113482832,13
3,1701,52,98061008,13
3,1723,52,113668056,12
3,1766,50,83102592,9
3,1822,48,117661360,12
3,1848,55,104107584,15
3,1878,48,100299216,19
3,1902,49,118682896,18
3,1948,54,92567832,22
3,1971,50,117887800,18
3,2000,57,114524176,18
3,2029,54,98567680,15
3,2074,47,123058016,18
3,2117,55,88229496,17
3,2125,52,112354280,18
3,2147,56,101718584,15
4,2179,55,103505104,14
3,2180,58,109356056,17
4,2212,60,106541776,17
4,2223,57,109606184,20
3,2224,58,101443424,18
3,2230,56,105127216,18
3,2207,53,131022768,16
3,2234,52,123349496,17
3,2276,61,128478048,17
3,2313,55,100354928,14
6,2365,56,99545128,12
6,2374,60,96071656,14
3,2405,58,110403120,15
3,2425,64,131975352,11
3,2481,57,113896968,8
3,2533,59,131001824,8
3,2551,61,123435848,8
3,2550,56,111023888,6
3,2556,58,109067152,6
3,2529,57,118475168,2
3,2553,57,85436144,2
3,2556,61,107680272,6
3,2568,63,84041072,3
3,2596,64,83438552,0
3,2606,63,92769720,0
3,2620,61,84626304,2
4,2625,61,95965512,5
3,2622,60,111880736,2
4,2620,58,90043448,1
3,2632,65,132453912,0
3,2627,61,105599512,3
3,2613,64,92804296,4
3,2590,56,117549840,3
3,2544,66,119560664,3
3,2521,60,88878352,0
3,2521,62,133503000,2
3,2523,64,94506664,0
3,2511,71,96595192,3
2,2491,56,136684672,0
3,2497,69,114589176,4
3,2492,62,112186088,4
3,2456,69,105046688,1
3,2446,70,135662728,0
3,2413,72,138424144,3
3,2396,70,102776888,1
3,2365,70,108056144,2
3,2363,66,133035288,3
3,2364,75,99145392,4
3,2389,70,127867384,2
4,2403,69,102289968,3
3,2426,70,124080680,0
4,2465,66,133680560,0
4,2506,76,131994624,0
3,2495,68,106894448,1
3,2493,67,124989768,1
3,2516,68,146262456,1
3,2541,64,117432272,3
3,2541,71,127007568,0
3,2545,66,123663336,2
3,2556,64,118906480,6
3,2568,69,138309480,6
3,2566,68,109470488,7
3,2575,65,127592856,3
3,2578,67,106977352,1
3,2611,62,131734448,0
3,2620,59,151012472,0
3,2601,60,144177208,4
2,2571,73,116361552,5
3,2562,70,119355056,5
2,2534,72,152252656,5
3,2536,62,122540888,3
3,2524,66,147362112,5
3,2522,71,118502856,6
3,2508,71,119387848,9
3,2508,69,123444576,7
3,2501,80,160666992,4
3,2486,78,141957792,7
2,2490,72,129716352,7
3,2494,80,162518288,10
3,2486,67,166564664,6
3,2488,75,163744224,5
3,2453,68,137558328,5
3,2410,67,128085736,7
3,2391,75,149382112,3
3,2379,73,147961176,2
3,2367,77,126535632,5
3,2344,78,139659168,1
3,2324,73,133069872,0
3,2322,73,136228376,4
3,2331,75,162662040,8
3,2342,71,131566016,8
4,2379,78,144987928,6
3,2372,77,110568888,7
3,2363,77,95423584,9
3,2385,72,139198640,8
3,2376,77,102273088,8
3,2358,75,144298120,6
3,2372,78,143291432,8
3,2422,76,143246440,8
3,2469,75,145359848,5
3,2519,58,101267472,4
3,2530,72,156408800,3
3,2578,76,116562720,5
3,2608,75,157957480,6
3,2655,71,157270912,6
3,2660,79,150788648,8
3,2657,66,118110592,9
3,2703,76,150012208,6
3,2704,78,106955064,6
3,2727,70,112200544,9
3,2749,74,166493920,13
3,2778,78,157651376,17
