clients,cpu,httpMeanTimes,threadCount,usedMemory,httpSessions
9,15,347,26,47382100,151
11,4,20,26,53390600,166
11,5,77,26,47778000,222
9,4,199,26,52584000,265
13,5,19,26,49236900,288
13,4,49,26,52253800,322
10,5,237,26,69171300,388
11,6,14,26,71629700,415
8,5,17,26,65727600,462
6,4,99,26,55768700,500
6,3,18,26,64018300,533
6,3,14,26,73939200,570
6,3,15,26,68318000,595
5,5,15,26,57473200,674
1,3,14,26,64146800,689
2,2,31,26,74137400,723
6,0,14,26,76593900,727
3,1,17,26,56720400,748
3,3,23,26,75789800,812
3,1,13,26,71605800,821
3,2,15,26,72016300,836
6,1,14,26,66007800,844
6,1,16,26,63896400,857
10,3,16,26,63347900,941
14,3,14,26,58124900,977
17,3,154,26,64199500,1050
21,3,187,26,58591700,1120
23,3,240,26,47302800,1183
24,4,188,26,50106600,1238
24,3,242,26,63254400,1296
26,4,133,26,52574300,1291
29,3,125,26,72986100,1198
32,3,369,26,56795200,1219
31,3,432,26,61088800,1222
29,3,297,26,51188700,1258
26,3,486,26,56304300,1276
26,3,246,26,56981900,1274
25,3,132,26,60150500,1233
28,3,76,26,75578400,1238
28,3,41,26,61512900,1212
30,3,142,26,65221300,1225
27,3,394,26,80914600,1258
30,3,343,26,60562900,1273
29,3,141,26,66658000,1294
33,3,156,26,73121800,1295
29,4,132,26,73421000,1355
27,3,235,26,69577400,1397
26,3,119,26,75020300,1427
26,3,136,26,72772400,1446
26,3,122,26,77390200,1466
26,3,227,26,77754200,1512
30,3,131,26,78851600,1545
30,3,230,26,69562600,1598
28,3,331,26,77613700,1629
24,3,199,26,87677300,1604
22,2,103,26,78084100,1592
24,3,26,26,75179900,1560
23,3,66,26,70744600,1553
21,3,186,26,82364300,1542
21,3,112,26,72603400,1541
22,3,58,26,78317900,1542
20,3,152,26,91479400,1563
20,3,133,26,86833800,1609
22,2,80,26,72097700,1604
24,3,43,26,75395100,1624
24,4,111,26,72245600,1624
24,3,258,26,69279200,1689
21,3,85,26,70805700,1690
21,3,41,26,91425700,1708
21,3,48,26,92489000,1743
24,3,107,26,85549600,1761
26,3,128,26,79301700,1755
26,3,308,26,78021400,1806
25,3,190,26,79886600,1827
21,3,71,26,80123500,1827
22,3,61,26,99578400,1807
23,3,71,26,96678500,1787
27,3,127,26,77108500,1758
27,3,183,26,53325700,1766
27,3,404,26,52523900,1809
27,3,202,26,57477300,1825
24,3,86,26,54416500,1798
24,3,61,26,80996800,1811
27,3,81,26,60436100,1761
26,3,103,26,54288100,1723
22,2,550,26,55159300,1760
18,2,193,26,70065200,1768
18,3,32,26,61352600,1796
19,3,50,26,62977600,1804
19,3,24,26,55449700,1784
19,3,86,26,69860300,1782
17,2,32,26,85209800,1758
19,3,151,26,69395900,1734
17,3,51,26,57971500,1717
20,3,281,26,61163600,1773
18,2,111,26,69751900,1744
18,3,147,26,86158900,1737
15,3,41,26,63068600,1654
14,3,45,26,79446100,1667
12,2,236,26,88362800,1669
16,2,148,26,67625200,1637
16,2,21,26,72992600,1620
15,3,131,26,91098100,1673
19,2,92,26,83947100,1588
19,3,24,26,91706200,1546
16,3,130,26,73605400,1574
13,3,155,26,70050700,1587
13,2,225,26,82814800,1595
17,3,17,26,87809500,1569
19,2,93,26,81353800,1540
15,3,204,26,94576400,1515
19,2,279,26,68917400,1494
21,3,19,26,96431400,1504
24,3,220,26,96991400,1548
24,3,144,26,84559900,1594
27,2,444,26,81659000,1622
23,2,314,26,84951500,1574
27,3,107,26,74036100,1601
31,3,188,26,99436700,1591
32,3,424,26,77793500,1592
28,2,554,26,100509000,1640
28,2,488,26,87108300,1615
29,2,216,26,78066200,1601
30,2,85,26,82600900,1571
34,3,81,26,101697000,1563
31,3,188,26,79061700,1502
31,3,278,26,91277400,1532
