HTTP_SYSTEM_ERROR,activeConnections,activeThreads,clients,cpu,fileDescriptors,free_disk_space,http2xxNum,http4xxNum,http5xxNum,httpHitsRate,httpMeanTimes,httpSessions,httpSessionsMeanAge,httpSystemErrors,http_Cpu_Time_Sum,http_Durations_Sum,http_Error_Hits,http_Gobal_Hits,loadedClassesCount,runningThreads,systemLoad,threadCount,tomcatBusyThreads,tomcatBytesSent,usedConnections,usedMemory,usedNonHeapMemory,usedPhysicalMemorySize
6,0,0,10,0,188,25386000000,147464,11,25922,0,69,3,16,0,3,0,25035,147475,8821,7,0,29,0,0,131,250170000,68502800,1726800000
6,0,1,14,4,234,25384200000,147464,11,25922,225,532,139,0,0,3,0,25035,147475,8821,7,0.24,30,1,7331090,172,312999000,68580000,1730190000
6,0,0,16,3,237,25383200000,147689,11,25922,406,287,199,1,0,3,0,25038,147700,8821,7,0.34,30,0,8392020,172,301591000,68584800,1731330000
6,0,0,13,3,205,25382400000,148095,11,25922,468,71,247,2,0,3,0,25045,148106,8821,7,0.2,30,0,8337330,136,361357000,68584800,1731000000
6,0,3,9,2,200,25382100000,148563,11,25922,368,161,269,2,0,3,0,25012,148574,8821,7,0.26,30,3,8248900,134,320684000,68584800,1731660000
6,0,1,12,2,197,25381800000,148931,11,25922,302,171,291,3,0,3,0,25033,148942,8821,7,0.16,30,1,8336130,134,271680000,68593200,1731740000
6,0,2,10,3,200,25381000000,149233,11,25922,305,168,351,3,0,3,0,25017,149244,8821,7,0.3,30,2,8181180,136,349662000,68611700,1732730000
6,0,0,11,3,198,25380600000,149538,11,25922,387,80,368,4,0,3,0,25029,149549,8821,7,0.33,30,0,8479380,136,307375000,68685200,1733300000
6,0,0,8,3,196,25380000000,149925,11,25922,488,18,415,5,0,3,0,25030,149936,8821,7,0.19,30,0,8294150,134,343442000,68685900,1734070000
6,0,0,5,2,194,25379700000,150413,11,25922,344,97,436,5,0,3,0,25040,150424,8821,7,0.15,30,0,8378070,133,300939000,68686300,1734540000
6,0,0,3,2,193,25379400000,150757,11,25922,299,13,457,6,0,3,0,25061,150768,8821,7,0.09,30,0,5728190,134,250346000,68742200,1735050000
6,1,2,3,1,194,25379300000,151056,11,25922,183,14,467,7,0,3,0,25051,151067,8821,7,0.03,30,2,3216970,134,297285000,68742200,1735400000
6,0,0,3,1,193,25379000000,151239,11,25922,171,14,486,8,0,3,0,25049,151250,8821,7,0.21,30,0,2726490,134,269516000,68744200,1735790000
6,0,0,2,2,193,25378500000,151410,11,25922,172,15,527,8,0,3,0,25053,151421,8821,7,0.08,30,0,3426680,134,308338000,68744200,1736420000
6,0,0,0,1,193,25378100000,151582,11,25922,120,16,550,9,0,3,0,25046,151593,8821,7,0.03,30,0,2405270,134,297511000,68744500,1736820000
6,0,0,4,0,190,25378100000,151702,11,25922,12,13,552,9,0,3,0,25068,151713,8821,7,0.06,30,0,192512,133,308213000,68744500,1736820000
6,0,0,4,2,196,25377300000,151714,11,25922,180,47,612,9,0,3,0,25070,151725,8821,7,0.55,29,0,4654060,137,261755000,68744800,1737690000
6,0,0,3,1,198,25377000000,151894,11,25922,228,15,619,10,0,3,0,25034,151905,8821,7,0.2,29,0,3523950,137,310326000,68744800,1738090000
6,0,0,4,1,195,25376900000,152122,11,25922,157,36,638,11,0,3,0,25041,152133,8821,7,0.07,29,0,5521800,135,361860000,68744800,1738290000
6,0,0,7,1,197,25376500000,152279,11,25922,221,17,660,12,0,3,0,25035,152290,8821,7,0.03,29,0,4216880,136,329495000,68745500,1738810000
6,0,0,6,3,197,25375700000,152500,11,25922,352,18,718,12,0,3,0,25022,152511,8821,7,0.26,29,0,7031990,136,279621000,68745500,1739810000
6,0,0,7,3,197,25375200000,152852,11,25922,342,16,752,12,0,3,0,25022,152863,8821,7,0.1,29,0,6222360,136,339063000,68777600,1740480000
6,0,0,3,2,194,25374500000,153194,11,25922,275,97,809,12,0,3,0,25022,153205,8821,7,0.04,29,0,8307420,134,264080000,68784900,1741310000
6,0,0,3,1,193,25374300000,153469,11,25922,192,12,819,13,0,3,0,25015,153480,8821,7,0.15,29,0,3422700,134,312192000,68786600,1741570000
6,0,0,0,2,192,25374100000,153661,11,25922,171,13,828,14,0,3,0,25020,153672,8821,7,0.13,29,0,3817010,133,354567000,68833700,1741870000
6,0,0,3,0,190,25374100000,153832,11,25922,19,63,832,15,0,3,0,25034,153843,8821,7,0.08,29,0,409893,133,250108000,68843700,1742030000
6,0,0,0,1,195,25373400000,153851,11,25922,138,40,877,15,0,3,0,25033,153862,8821,7,0.03,29,0,3565390,135,281464000,68845700,1742730000
6,0,0,0,0,192,25373400000,153989,11,25922,18,14,877,16,0,3,0,25041,154000,8821,7,0.14,29,0,267127,135,289904000,68847100,1742700000
6,0,0,2,0,191,25373400000,154007,11,25922,0,14,877,17,0,3,0,25045,154018,8821,7,0.05,29,0,203,134,295932000,68847100,1742700000
6,0,0,4,1,193,25373000000,154007,11,25922,97,26,907,17,0,3,0,25045,154018,8821,7,0.02,29,0,2455530,135,278772000,68847100,1743170000
6,0,0,5,2,195,25372500000,154104,11,25922,211,15,941,18,0,3,0,25049,154115,8821,7,0.01,29,0,4168890,135,280504000,68847600,1743710000
6,0,0,3,2,193,25372100000,154315,11,25922,249,54,911,17,0,3,0,25061,154326,8821,7,0,29,0,6379660,134,260736000,68849100,1744220000
6,0,0,5,1,193,25371900000,154564,11,25922,176,17,827,16,0,3,0,25075,154575,8821,7,0,29,0,4699660,134,310535000,68849600,1744420000
6,0,0,8,2,195,25371300000,154740,11,25922,251,35,817,16,0,3,0,25078,154751,8821,7,0.21,29,0,6100270,135,328157000,68850200,1745180000
6,0,0,4,3,196,25370500000,154991,11,25922,396,34,833,15,0,3,0,25108,155002,8821,7,0.08,29,0,7736050,137,286205000,68851200,1746310000
6,0,0,8,1,198,25370200000,155387,11,25922,253,14,824,15,0,3,0,25090,155398,8821,7,0.08,29,0,4824960,137,344576000,68851200,1746660000
6,0,0,9,2,201,25369300000,155640,11,25922,242,291,859,14,0,3,0,25100,155651,8821,7,0.09,29,0,7944840,138,326456000,68869200,1747650000
6,0,0,13,6,199,25368800000,155882,11,25922,437,18,843,14,0,3,0,25097,155893,8821,7,0.23,29,0,8299600,138,329143000,69070200,1757650000
6,0,2,17,4,206,25367700000,156319,11,25922,413,136,891,13,0,3,0,25101,156330,8821,7,0.41,29,2,8332140,138,347912000,69122300,1758920000
6,0,4,13,3,208,25366700000,156732,11,25922,316,553,927,12,0.316456,3,0,25106,156743,8821,7,0.23,29,4,8368220,138,366019000,69146700,1760150000
6,0,0,12,2,201,25366300000,157048,11,25923,366,187,927,13,0,3,0,25102,157059,8821,7,0.22,29,0,8426370,138,333895000,69167800,1760600000
6,0,2,10,2,200,25365900000,157414,11,25923,439,56,936,13,0,3,0,24996,157425,8821,8,0.33,29,2,8233880,134,310114000,69169000,1761140000
6,0,2,10,2,198,25365600000,157853,11,25923,282,240,946,13,0,3,0,25013,157864,8821,7,0.12,29,2,8402780,134,256461000,69179200,1761360000
6,0,0,13,2,196,25365300000,158135,11,25923,352,95,927,13,0,3,0,25020,158146,8821,7,0.17,29,0,8472850,133,351470000,69181900,1761710000
6,0,0,13,3,199,25364500000,158487,11,25923,389,136,967,13,0,3,0,25013,158498,8821,7,0.3,29,0,8313830,137,301844000,69210600,1762570000
6,0,0,9,3,200,25363900000,158876,11,25923,481,22,999,13,0,3,0,25013,158887,8821,7,0.11,29,0,8269450,137,354016000,69212700,1763170000
6,0,1,13,3,198,25363300000,159357,11,25923,462,20,986,13,0,3,0,25015,159368,8821,7,0.14,29,1,7501610,135,270402000,69227400,1764020000
6,0,2,11,4,204,25362600000,159819,11,25923,338,244,1082,12,0,3,0,25012,159830,8821,7,0.13,29,2,8439980,137,298034000,69236700,1766330000
6,0,0,9,4,201,25361600000,160157,11,25923,403,211,1131,12,0,3,0,24959,160168,8821,7,0.11,29,0,8334960,137,338698000,69257500,1767350000
