HTTP_SYSTEM_ERROR,activeThreads,clients,cpu,fileDescriptors,free_disk_space,gc,http2xxNum,http4xxNum,http5xxNum,httpHitsRate,httpMeanTimes,httpSessions,httpSessionsMeanAge,httpSystemErrors,http_Cpu_Time_Sum,http_Error_Hits,http_Gobal_Hits,loadedClassesCount,runningThreads,systemLoad,threadCount,tomcatBusyThreads,tomcatBytesSent,usedConnections,usedMemory,usedNonHeapMemory,usedPhysicalMemorySize
3,0,10,12,87,24301500000,0,13824,7,4250,0,29,0,-1,2.04082,2,3987,13831,2430,3,0.23,9,-4,0,0,30104700,17574300,1223650000
3,3,12,35,128,24300800000,2,13824,7,4250,26,1967,26,0,0,2,3987,13831,8128,9,1.08,30,3,1325240,26,54554800,52944900,1351810000
3,1,8,13,131,24299300000,0,13850,7,4250,299,353,146,0,0,2,3989,13857,8220,7,0.6,30,1,8467090,26,63579400,54200500,1361840000
3,0,9,7,123,24298700000,0,14149,7,4250,464,356,178,1,0,2,3986,14156,8222,7,0.25,30,0,7950640,26,60886600,54650500,1363420000
3,1,5,4,105,24298300000,0,14613,7,4250,307,97,200,2,0,2,3978,14620,8240,7,0.33,30,1,7378330,5,56432600,54917200,1366420000
3,0,1,4,61,24298000000,0,14920,7,4250,239,136,227,3,0,2,3980,14927,8240,7,0.45,30,0,7927500,5,73376900,55078600,1369400000
3,0,2,3,100,24297800000,0,15159,7,4250,195,18,235,3,0,2,3980,15166,8241,7,0.35,30,0,3591300,5,73330400,55272600,1370400000
3,0,2,1,61,24297700000,0,15354,7,4250,67,20,251,4,0,2,3996,15361,8241,7,0.29,30,0,2234170,5,74415700,55303000,1374660000
3,0,1,2,63,24297500000,0,15421,7,4250,114,21,260,5,0,2,3992,15428,8246,7,0.1,30,0,2176320,5,71879300,55398100,1375040000
3,0,0,1,62,24297400000,0,15535,7,4250,103,17,266,6,0,3,3977,15542,8246,7,0.04,30,0,2309000,5,76321300,55492800,1375300000
3,0,4,1,61,24297400000,0,15638,7,4250,45,17,270,7,0,3,3968,15645,8246,7,0.06,30,0,1047060,5,69133200,55540400,1375440000
3,0,3,1,66,24297000000,0,15683,7,4250,29,72,299,7,0,3,3968,15690,8246,7,0.02,28,0,1218590,7,60696400,55590900,1379840000
3,0,3,3,66,24296500000,0,15712,7,4250,202,32,331,7,0.49505,3,3975,15719,8248,8,0.11,28,0,4238630,7,64808300,55679200,1380480000
3,0,1,3,66,24296300000,0,15913,8,4250,172,20,343,8,0,3,3967,15921,8248,7,0.04,28,0,2829250,7,59698000,55834100,1395160000
3,0,0,2,62,24296200000,0,16085,8,4250,127,70,355,9,0,3,3966,16093,8248,7,0.02,28,0,4807340,5,74877600,55924100,1387100000
3,0,3,1,61,24296200000,0,16212,8,4250,46,15,357,10,0,3,3965,16220,8248,7,0.04,28,0,829395,5,65338500,55942100,1387100000
3,0,3,1,63,24295900000,0,16258,8,4250,24,69,379,10,0,3,3967,16266,8249,7,0.21,28,0,919341,5,60299800,55965000,1389480000
3,0,4,2,63,24295500000,0,16282,8,4250,164,26,402,10,0,3,3965,16290,8249,7,0.79,28,0,3430550,5,60139300,56030900,1390280000
3,0,4,2,63,24295200000,0,16446,8,4250,176,23,424,11,0,3,3972,16454,8249,7,0.6,28,0,3358430,5,79950200,56134700,1390760000
3,0,4,2,63,24295000000,0,16622,8,4250,197,60,441,11,0,3,3975,16630,8249,7,0.25,28,0,5918440,5,74850400,56224600,1391600000
3,0,1,2,63,24294700000,0,16819,8,4250,224,18,457,12,0,3,3975,16827,8249,7,0.37,28,0,3868720,5,57720300,56281700,1392040000
3,0,4,3,100,24294600000,0,17043,8,4250,194,19,467,13,0,3,3974,17051,8250,7,0.32,28,0,4058530,5,83184300,56460000,1393010000
3,1,4,1,63,24294300000,0,17237,8,4250,81,26,494,13,0,3,3978,17245,8250,7,0.16,28,1,1914970,5,72774100,56525200,1393700000
3,0,5,3,62,24293800000,0,17318,8,4250,220,23,520,13,0,3,3969,17326,8250,7,0.4,28,0,4302580,5,58824800,56575200,1394240000
3,0,7,4,103,24293200000,0,17538,8,4250,230,21,564,13,0,3,3983,17546,8268,8,0.15,28,0,4624980,5,62995600,56868200,1397550000
3,0,5,4,100,24292800000,0,17768,8,4250,262,38,600,13,0,3,3966,17776,8268,7,0.05,28,0,7264510,5,65928300,56994200,1398240000
3,1,5,5,62,24292200000,0,18030,8,4250,368,19,630,13,0,3,3966,18038,8268,7,0.1,28,1,6844420,5,64629300,57112600,1399130000
3,0,4,4,64,24292000000,0,18398,8,4250,280,22,648,14,0,3,3951,18406,8268,7,0.12,28,0,5883200,5,84680600,57490200,1402020000
3,0,7,4,63,24291400000,0,18678,8,4250,263,27,700,14,0,3,3968,18686,8270,7,0.16,28,0,6242230,5,82480000,57621500,1402900000
3,0,5,3,63,24290900000,0,18941,8,4250,246,18,736,14,0,3,3989,18949,8270,7,0.06,28,0,4692560,5,82554700,57670100,1403750000
3,0,7,4,63,24290100000,0,19187,8,4250,360,20,784,14,0,3,3972,19195,8278,7,0.02,28,0,6529400,6,64778900,57799100,1401840000
3,1,7,5,66,24289200000,0,19547,8,4250,286,26,857,14,0,3,3965,19555,8278,7,0.2,28,1,5663870,6,76375300,57835900,1404270000
3,0,3,3,62,24288800000,0,19833,8,4250,287,161,818,13,0,3,3969,19841,8278,7,0.07,28,0,8110700,5,85887100,57845800,1405370000
3,0,3,3,62,24288400000,0,20120,8,4250,359,14,746,12,0,3,3968,20128,8266,7,0.26,28,0,5807910,5,72457900,57888600,1414660000
3,0,4,1,63,24288300000,0,20479,8,4250,169,15,740,12,0,3,3957,20487,8266,7,0.1,28,0,4660180,5,86941400,57901300,1417100000
3,0,4,2,62,24287900000,0,20648,8,4250,182,18,742,12,0,3,3959,20656,8266,7,0.1,28,0,3390750,5,81708400,57923400,1419890000
3,1,7,2,100,24287500000,0,20830,8,4250,229,17,745,12,0,3,3965,20838,8267,7,0.16,28,1,4110950,5,76413800,57952400,1422340000
3,2,7,4,105,24286600000,0,21059,8,4250,219,93,799,12,0,3,3980,21067,8268,7,0.21,28,2,4816790,5,93041600,58120600,1423770000
3,0,3,4,100,24286000000,0,21278,8,4250,311,80,825,12,0,3,3969,21286,8268,7,0.08,28,0,7602060,5,70744100,58326100,1424460000
3,0,5,3,63,24285700000,0,21589,8,4250,355,18,837,12,0,3,3967,21597,8268,7,0.09,28,0,5839460,5,78117000,58524600,1425230000
3,0,3,2,62,24285400000,0,21944,8,4250,167,21,863,13,0,3,3967,21952,8268,7,0.03,28,0,5978190,5,64232900,58594200,1425680000
3,0,3,2,63,24284900000,0,22111,8,4250,263,18,881,13,0,3,3962,22119,8268,8,0.06,28,0,4940090,5,87680000,58692700,1426450000
3,0,1,2,63,24284800000,0,22374,8,4250,166,22,836,13,0,3,3968,22382,8268,7,0.14,28,0,3274150,5,95431500,58768800,1426790000
