load,cpu,memory,java,sshd,dumpcap,top,flush-253:0,khugepaged,kswapd0,metricbeat,node_exporter,prometheus,python,tshark,maincpu,main,vim,java,sshd,dumpcap,top,flush-253:0,khugepaged,kswapd0,metricbeat,node_exporter,prometheus,python,tshark,maincpu,main,vim
0.477500007,0.632100001,0.424249992,0.615337494,0,0,7.50E-04,5.00E-04,0,0.00235,0.0038375,7.37E-04,0.002725,0,0,0,0,0,0.286200001,0.0018,0,1.00E-04,0,0,0,7.50E-04,0.0015,0.100299999,0,0,0,0,0
0.545833334,0.399050002,0.433249995,0.262983335,4.58E-04,0,0.001375,8.33E-05,0,7.08E-04,0.006245833,4.17E-04,0.011766667,0,0.001955,0,0,0.001,0.292816669,0.0018,0,1.00E-04,0,0,0,0.00105,0.0015,0.100299999,9.00E-04,0.00368,0,0,5.00E-04
0.637916669,0.286300004,0.435166667,0.1431375,1.67E-04,0,0.001208333,0,0,0,0.00575,5.42E-04,0.003541667,0,0,0,0,8.33E-05,0.296350001,0.0018,2.00E-04,1.00E-04,0,0,0,0.0011,0.0015,0.100299999,0.0011,0.0042,0,0,3.00E-04
0.458333338,0.316966658,0.434633334,0.143787503,1.67E-04,0,0.001041667,4.17E-05,0,0,0.005333333,5.00E-04,0.0143,0,0,0,0,0,0.296600004,0.0018,0,1.00E-04,0,0,0,0.0011,0.0015,0.100299999,0,0,0,0,0
0.545833339,0.256650006,0.434666673,0.126912499,1.67E-04,0,0.001083333,0,0,0,0.005541667,5.83E-04,0.003666667,0,0,0,0,0,0.296666672,0.0018,0,1.00E-04,0,0,0,0.0011,0.0015,0.100299999,0,0,0,0,0
0.254583329,0.165933341,0.434700012,0.149916668,2.08E-04,0,0.001083333,4.17E-05,0,0,0.005291667,6.25E-04,0.012,0,0,0,0,0,0.296750006,0.0018,0,1.00E-04,0,0,0,0.0011,0.0015,0.100299999,0,0,0,0,0
0.122916664,0.156533341,0.435299993,0.149733334,2.08E-04,0,0.001083333,0,0,0,0.005291667,5.00E-04,0.003333333,0,0,0,0,0,0.297450007,0.0018,0,1.00E-04,0,0,0,0.0011,0.0015,0.100299999,0,0,0,0,3.00E-04
0.636666656,0.655700008,0.427033325,0.502324997,1.67E-04,0,9.83E-04,0,0,0,0.006,2.42E-04,0.014383334,0,0,0,0,0,0.289766668,0.0018,0,1.00E-04,0,0,0,9.33E-04,0.0015,0.100299999,0,0,0,0,0
0.544166674,0.258133332,0.433049997,0.240958334,4.17E-05,0,0.001041667,4.17E-05,0,0,0.007670833,5.00E-04,0.003379167,0,0,0,0,0,0.295350001,0.0018,0,1.00E-04,0,0,0,0.0012,0.0015,0.100299999,0,0,0,0,0
0.342499996,0.190133333,0.433449998,0.146737501,8.33E-05,0,0.001083333,0,0,0,0.007341667,4.58E-04,0.0136875,0,0,0,0,0,0.295683334,0.0018,0,1.00E-04,0,0,0,0.0012,0.0015,0.100299999,0,0,0,1.00E-04,0
0.247083334,0.332200011,0.433083326,0.0736625,1.25E-04,0,9.08E-04,4.17E-05,0,0,0.004158333,2.50E-04,0.0020375,0,0,0,0.244362501,0,0.295350001,0.002,0,1.00E-04,0,0,0,0.0012,0.0015,0.100299999,0,0,0,1.00E-04,0
0.277083337,0.346499999,0.40625001,0.079004168,4.17E-05,0,0.001125,0,0,0,0.004425,4.17E-04,0.010095833,0,0,0,0.243891666,0,0.267466667,0.002,0,2.00E-04,0,0,0,0.0012,0.0015,0.100299999,0,0,0,1.00E-04,0
0.281250005,0.268583337,0.406533331,0.078720834,0,0,0.001458333,0,8.33E-05,0,0.00475,3.75E-04,0.002745833,0,0,0,0.245324999,0,0.267800001,0.002,0,2.00E-04,0,0,0,0.0012,0.0015,0.100299999,0,0,0,1.00E-04,0
0.341666666,0.308283334,0.406333337,0.098741667,1.67E-04,0,0.001816667,4.17E-05,0,0,0.006008333,5.42E-04,0.007975,0,0,0.121762499,0,0,0.267650002,0.002,0,2.00E-04,0,0,0,0.0012,0.0015,0.100299999,0,0,1.00E-04,0,0
0.349166666,0.312483341,0.406733324,0.057583333,1.25E-04,0,5.42E-04,0,0,0,0.003083333,2.08E-04,0.001958333,0,0,0.245800001,0,0,0.268150004,0.002,0,1.00E-04,0,0,0,0.0012,0.0015,0.100299999,0,0,1.00E-04,0,3.00E-04
0.387916659,0.476433337,0.4067,0.055691667,4.17E-05,0,7.08E-04,0,0,0,0.003079167,2.08E-04,0.007120833,0,0,0.246024999,0,0,0.268100002,0.002,0,1.00E-04,0,0,0,0.0012,0.0015,0.100299999,0,0,1.00E-04,0,6.00E-04
0.500416666,0.428433339,0.407883341,0.064170834,8.33E-05,0,6.67E-04,4.17E-05,0,0,0.003970833,2.50E-04,0.002170833,0,0,0.245012499,0,2.08E-04,0.269216669,0.002,0,1.00E-04,0,0,0,0.0012,0.0015,0.100299999,0,0,1.00E-04,0,3.00E-04
0.451666673,0.321949989,0.408250004,0.057320834,0,0,5.42E-04,0,0,0,0.004166667,2.92E-04,0.010204167,0,0,0.245741668,0,0,0.269616668,0.002,0,1.00E-04,0,0,0,0.0012,0.0015,0.100299999,0,0,1.00E-04,0,3.00E-04
0.377499998,0.413050001,0.408833325,0.061912501,0,0,5.42E-04,0,0,0,0.003041667,1.67E-04,0.001958333,0,0,0.245550002,0,0,0.270350004,0.0018,0,1.00E-04,0,0,0,0.0012,0.0015,0.100299999,0,0,1.00E-04,0,3.00E-04
0.432083338,0.333316664,0.409533332,0.060333333,0,0,5.00E-04,4.17E-05,0,0,0.003,2.50E-04,0.007125,0,0,0.245358331,0,0,0.271000006,0.0018,0,1.00E-04,0,0,0,0.001233333,0.0015,0.100299999,0,0,1.00E-04,0,3.00E-04
0.339999999,0.324150006,0.410316666,0.067829166,1.25E-04,0,8.71E-04,0,0,0,0.004416667,2.08E-04,0.002158333,0,0,0.245099999,0,5.06E-04,0.271833338,0.0018,0,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0,0,1.00E-04,0,6.00E-04
0.292916675,0.334733327,0.411216676,0.056187501,0,0,5.42E-04,0,0,0,0.003375,2.08E-04,0.0070875,0,0,0.245754165,0,0,0.273000003,0.0018,0,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0,0,1.00E-04,0,0
0.283750003,0.32373333,0.41231666,0.065641667,0,0,5.00E-04,4.17E-05,0,0,0.004754167,2.50E-04,0.0024625,0,0,0.245487501,0,0,0.274016668,0.0018,0,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0,0,1.00E-04,0,0
0.262083334,0.323099991,0.41291667,0.061666666,0,0,6.25E-04,0,0,0,0.002791667,2.92E-04,0.009666667,0,0,0.245129163,0,0,0.274783336,0.0018,0,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0,0,1.00E-04,0,0
0.219166666,0.316966663,0.413500011,0.062670834,0,0,6.67E-04,0,0,0,0.002875,2.08E-04,0.00225,0,0,0.245362503,0,0,0.275300001,0.0018,0,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0,0,1.00E-04,0,0
0.257916662,0.328966677,0.413516675,0.0677375,0,0,6.25E-04,4.17E-05,0,0,0.004333333,2.92E-04,0.007354167,0,0,0.245270833,0,0,0.275333335,0.0018,0,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0,0,1.00E-04,0,0
0.226666667,0.30946667,0.413433333,0.051404167,0,0,5.83E-04,0,0,0,0.004254167,2.92E-04,0.002,0,0,0.2472,0,0,0.275316668,0.0018,0,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0,0,1.00E-04,0,0
0.233333334,0.333883335,0.413466672,0.068704167,0,0,6.25E-04,0,0,0,0.002875,2.92E-04,0.0080875,0,0,0.245545834,0,0,0.275350002,0.0018,0,1.00E-04,0,0,0,0.0013,0.0015,0.100299999,0,0,1.00E-04,0,0
