"","HTTP_SYSTEM_ERROR","activeThreads","clients","cpu","fileDescriptors","free_disk_space","gc","http2xxNum","http4xxNum","http5xxNum","httpHitsRate","httpMeanTimes","httpSessions","httpSessionsMeanAge","httpSystemErrors","http_Cpu_Time_Sum","http_Error_Hits","http_Gobal_Hits","loadedClassesCount","runningThreads","systemLoad","threadCount","tomcatBusyThreads","tomcatBytesSent","usedConnections","usedMemory","usedNonHeapMemory","usedPhysicalMemorySize"
"HTTP_SYSTEM_ERROR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"activeThreads","0.0","1.0","0.8120993866088406","0.06600500583209747","0.9092354287393477","0.5265534659115121","0.0","-0.2633494057907391","-0.7125599956771156","-0.7853833666134975","-0.11436227817342792","0.0038772306626113653","0.04905190920133703","0.29190851539264073","-0.4785067658974875","0.0","-0.7836211442321848","-0.26376733869424845","-0.7826285071315624","-0.024599710544235157","0.03648283112660349","0.8863203487682841","0.9994739476236328","-0.14833724731724718","-0.17841639156700909","-0.2088537015001791","-0.7867258810821344","0.23080119784717598"
"clients","0.0","0.8120993866088406","1.0","0.12393167759414404","0.7604480829658883","0.7452780163205751","0.0","-0.46668133006035656","-0.9114375651814606","-0.9619249142914998","-7.736529768427363E-4","0.06237613934919884","-0.0818286803805931","0.34171148528009937","-0.34707939302725843","0.0","-0.9580020170637726","-0.4671573758870303","-0.9028313554954259","-0.03791035933097406","0.13904547871367628","0.9081830026268448","0.8120228440002947","-0.10075127111813822","-0.3590128925918489","-0.2793371646848591","-0.8998930523122559","0.1360474897197647"
"cpu","0.0","0.06600500583209747","0.12393167759414404","1.0","0.11364443247156414","-0.3973005840876182","0.0","0.5640646649746492","-0.04677300797910921","-0.15085684238509364","0.9296111339068668","-0.2482919468112332","0.7666857619901367","0.22684157359686216","-0.6448083054220328","0.0","-0.15086996886943396","0.5637751322375256","-0.15028170616884462","0.11117469851600616","0.30128300347295744","0.16096726858553925","0.06620689983316426","0.9335286997639632","0.5979979927201472","0.024138447196300254","-0.23248042980467756","0.6040540829892295"
"fileDescriptors","0.0","0.9092354287393477","0.7604480829658883","0.11364443247156414","1.0","0.49933582884220784","0.0","-0.2262438585080008","-0.6299528738789643","-0.7937548728033944","-0.06348287849943686","0.016364222828264195","0.06844614925081226","0.24413501436660756","-0.44358731103636084","0.0","-0.7945260828746896","-0.2266163049282219","-0.736306538607742","-0.012271084245505692","0.019396657607333206","0.7915904900094024","0.9099940348262067","-0.08457384252592678","-0.1430349682046022","-0.20874997231345582","-0.7425767077530071","0.12909909019973437"
"free_disk_space","0.0","0.5265534659115121","0.7452780163205751","-0.3973005840876182","0.49933582884220784","1.0","0.0","-0.9309354037828969","-0.7891798158321504","-0.7076118788999122","-0.47671786527783105","0.24464735486318667","-0.7170151410128468","0.030844187628321428","0.17685169740567178","0.0","-0.6978663588367051","-0.9311100648507056","-0.6344666712310011","-0.14029496952797987","-0.025469772686524318","0.594094490547595","0.5265188630877938","-0.5819866407547994","-0.7682931496262426","-0.29006779329782423","-0.5824378523475482","-0.3277568155124088"
"gc","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"http2xxNum","0.0","-0.2633494057907391","-0.46668133006035656","0.5640646649746492","-0.2262438585080008","-0.9309354037828969","0.0","1.0","0.5983729309695621","0.4094067439325534","0.6034210390541273","-0.28566111003232253","0.9059243610301853","0.12935372296416286","-0.38519943853752736","0.0","0.39655072798236607","0.9999998179330769","0.3689186017970081","0.16628921659457654","0.10882883200334321","-0.3239784360147138","-0.26360717806906575","0.6943337807889242","0.8226801304841634","0.23814447198916125","0.30398735492181694","0.4423671460297057"
"http4xxNum","0.0","-0.7125599956771156","-0.9114375651814606","-0.04677300797910921","-0.6299528738789643","-0.7891798158321504","0.0","0.5983729309695621","1.0","0.8206571944561016","0.08414549782364657","-0.12260829279534131","0.2275306814684409","-0.26882281555798726","0.24512161925402445","0.0","0.8124439053475974","0.5988563048525255","0.8134489414598408","0.03566691668690925","-0.051823813323940836","-0.8279288922652795","-0.7130040646873206","0.18253959860663913","0.5171776105553136","0.276926899965609","0.8026057315104919","-0.10967311599540551"
"http5xxNum","0.0","-0.7853833666134975","-0.9619249142914998","-0.15085684238509364","-0.7937548728033944","-0.7076118788999122","0.0","0.4094067439325534","0.8206571944561016","1.0","-0.04604217073931359","-0.07488104074115517","0.051072990166845696","-0.2377921285924099","0.29888857160533755","0.0","0.9996489436264212","0.40984024072664704","0.9020750664769916","0.026066062985011074","-0.1748373856892583","-0.8726220546641367","-0.7853939577930609","0.05536631534788791","0.30818800954530895","0.2681978459245011","0.8987535794096221","-0.08056834314900548"
