HTTP_SYSTEM_ERROR,activeConnections,activeThreads,clients,cpu,deadLockThreads,fileDescriptors,free_disk_space,gc,http2xxNum,http4xxNum,http5xxNum,httpHitsRate,httpMeanTimes,httpSessions,httpSessionsMeanAge,httpSystemErrors,http_Cpu_Time_Sum,http_Durations_Sum,http_Error_Hits,http_Gobal_Hits,loadedClassesCount,runningThreads,systemLoad,threadCount,tomcatBusyThreads,tomcatBytesReceived,tomcatBytesSent,usedConnections,usedMemory,usedNonHeapMemory,usedPhysicalMemorySize,usedSwapSpaceSize
2,0,0,10,23,0,91,27596800000,1,5336,13,1,10,6995,0,-1,100,8,0,13,5349,7628,7,0.37,27,0,0,182,1,52590400,48185800,1855440000,0
3,0,0,10,12,0,80,27596400000,0,5360,14,25,0,5890,0,-1,100,9,0,35,5374,2421,2,1.39,8,-4,0,0,0,19600400,17489500,827060000,0
3,0,10,6,30,0,111,27596000000,3,5360,14,25,2,13785,11,1,0,9,0,35,5374,7922,17,1.08,26,10,0,109852,10,44927500,50725300,754414000,0
3,0,0,9,15,0,106,27594600000,0,5362,14,25,261,347,151,0,0,9,0,35,5376,8020,8,1,26,0,0,8298700,10,47382100,52411800,765551000,0
3,0,0,11,4,0,109,27594200000,0,5623,14,25,334,20,166,1,0,10,0,37,5637,8021,7,0.64,26,0,0,5719420,10,53390600,52679300,771072000,0
3,0,2,11,5,0,77,27593400000,0,5957,14,25,345,77,222,2,0,10,0,37,5971,8037,7,0.45,26,2,0,8549900,10,47778000,52982600,781136000,0
3,0,0,9,4,0,73,27592900000,0,6302,14,25,262,199,265,2,0,9,0,37,6316,8037,8,0.53,26,0,0,8166150,10,52584000,53247300,792699000,0
3,0,0,13,5,0,74,27592500000,0,6564,14,25,469,19,288,3,0,9,0,37,6578,8037,7,0.43,26,0,0,8420200,10,49236900,53597300,800862000,0
3,0,2,13,4,0,112,27592000000,0,7033,14,25,347,49,322,4,0,9,0,37,7047,8038,7,0.44,26,2,0,8529420,10,52253800,53820800,809230000,0
3,0,0,10,5,0,77,27591200000,0,7380,14,25,338,237,388,4,0,9,0,37,7394,8044,7,0.33,26,0,0,8213280,10,69171300,54143900,813257000,0
3,0,0,11,6,0,71,27590700000,0,7718,14,25,476,14,415,4,0,8,0,32,7732,8044,8,0.2,26,0,0,8251050,10,71629700,54462900,820896000,0
3,0,1,8,5,0,106,27590100000,0,8194,14,25,500,17,462,5,0,8,0,32,8208,8047,7,0.1,26,1,0,8364160,10,65727600,54769500,827535000,0
3,0,0,6,4,0,73,27589600000,0,8694,14,25,312,99,500,5,0,8,0,32,8708,8048,7,0.07,26,0,0,8535580,10,55768700,55008400,832909000,0
3,0,0,6,3,0,69,27589100000,0,9006,14,25,404,18,533,6,0,8,0,32,9020,8048,7,0.28,26,0,0,7311910,10,64018300,55104800,839250000,0
3,0,0,6,3,0,68,27588600000,0,9410,14,25,327,14,570,7,0,7,0,32,9424,8048,7,0.13,26,0,0,6624250,10,73939200,55220600,842052000,0
3,0,0,6,3,0,71,27588300000,0,9737,14,25,342,15,595,7,0,7,0,32,9751,8048,7,0.12,26,0,0,5360860,10,68318000,55370000,845246000,0
3,0,0,5,5,0,69,27587400000,0,10079,14,25,305,15,674,7,0,7,0,32,10093,8048,7,0.14,26,0,0,7423810,10,57473200,55629000,849936000,0
3,0,0,1,3,0,71,27587100000,0,10384,14,25,334,14,689,8,0,7,0,33,10398,8048,7,0.05,26,0,0,5270490,10,64146800,55745200,853635000,0
3,0,0,2,2,0,71,27586700000,0,10718,14,25,222,31,723,9,0,7,0,33,10732,8048,7,0.27,26,0,0,6827730,10,74137400,55835600,855773000,0
3,0,0,6,0,0,67,27586600000,0,10940,14,25,57,14,727,10,0,7,0,33,10954,8048,7,0.1,26,0,0,1005420,10,76593900,55884600,856547000,0
3,0,0,3,1,0,72,27586200000,0,10997,14,25,115,17,748,10,0,7,0,33,11011,8048,7,0.04,26,0,0,3410800,10,56720400,55911200,858022000,0
3,0,2,3,3,0,70,27585500000,0,11112,14,25,297,23,812,10,0,7,0,33,11126,8048,7,0.01,26,2,0,6203010,10,75789800,55994400,862360000,0
3,0,0,3,1,0,69,27585300000,0,11409,14,25,168,13,821,11,0,7,0,34,11423,8048,7,0.01,26,0,0,2633590,10,71605800,56026100,863777000,0
3,0,0,3,2,0,102,27585200000,0,11577,14,25,151,15,836,12,0,7,0,34,11591,8049,7,0,26,0,0,5308720,10,72016300,56201300,865141000,0
3,0,0,6,1,0,68,27585000000,0,11728,14,25,166,14,844,13,0,6,0,34,11742,8049,7,0.07,26,0,0,2905120,10,66007800,56217300,867037000,0
3,0,0,6,1,0,71,27584700000,0,11894,14,25,168,16,857,14,0,6,0,34,11908,8049,7,0.03,26,0,0,3019940,10,63896400,56248900,869134000,0
3,0,0,10,3,0,70,27583800000,0,12062,14,25,316,16,941,13,0,6,0,34,12076,8049,7,0.17,26,0,0,6323520,10,63347900,56294000,872235000,0
3,0,1,14,3,0,76,27583100000,0,12378,14,25,335,14,977,14,0,6,0,34,12392,8049,7,0.19,26,1,0,6136010,10,58124900,56403000,876450000,0
3,0,2,17,3,0,78,27582200000,0,12713,14,25,281,154,1050,14,0,6,0,34,12727,8034,7,0.14,26,2,0,8397690,10,64199500,56436500,888005000,0
3,0,3,21,3,0,115,27581300000,0,12994,14,25,346,187,1120,14,0,6,0,35,13008,8035,7,0.1,26,3,0,8240570,10,58591700,56473400,894009000,0
3,0,3,23,3,0,119,27580500000,0,13340,14,25,354,240,1183,14,0.282486,6,0,35,13354,8036,7,0.28,26,3,0,8567970,10,47302800,56571800,898003000,0
4,0,2,24,4,0,85,27579600000,0,13694,14,26,394,188,1238,15,0,6,0,36,13708,8036,7,0.26,26,2,0,8368050,10,50106600,56594800,900518000,0
4,0,2,24,3,0,83,27579000000,0,14088,14,26,381,242,1296,15,0,6,0,36,14102,8036,7,0.45,26,2,0,8421080,10,63254400,56616800,903045000,0
4,0,1,26,4,0,82,27578400000,0,14469,14,26,409,133,1291,15,0.244499,6,0,36,14483,8036,8,0.2,26,1,0,8332180,10,52574300,56807000,904634000,0
4,0,4,29,3,0,87,27577900000,0,14878,14,27,423,125,1198,14,0.236407,6,0,37,14892,8036,7,0.17,26,4,0,8491280,10,72986100,56837500,907252000,0
4,0,2,32,3,0,90,27577300000,0,15301,14,28,400,369,1219,14,0.5,6,0,37,15315,8036,7,0.06,26,2,0,8792840,10,56795200,56878500,909816000,0
4,0,2,31,3,0,96,27576500000,0,15701,14,30,349,432,1222,14,0.859599,6,0,40,15715,8036,7,0.02,26,2,0,8651620,10,61088800,56971100,912413000,0
4,0,3,29,3,0,93,27575900000,0,16050,14,33,385,297,1258,14,0.25974,5,0,41,16064,8036,7,0.24,26,3,0,8533230,10,51188700,56960800,916718000,0
4,0,2,26,3,0,92,27575200000,0,16435,14,34,343,486,1276,14,0.291545,5,0,42,16449,8036,7,0.12,26,2,0,8635330,10,56304300,57098400,919294000,0
4,0,1,26,3,0,90,27574800000,0,16778,14,35,375,246,1274,14,0.533333,5,0,35,16792,8036,7,0.28,26,1,0,8614490,10,56981900,57122400,921354000,0
4,0,0,25,3,0,88,27574400000,0,17153,14,37,396,132,1233,14,0.252525,5,0,37,17167,8036,7,0.24,26,0,0,8405310,10,60150500,57170200,923607000,0
4,0,0,28,3,0,82,27574000000,0,17549,14,38,440,76,1238,14,0.227273,5,0,39,17563,8036,7,0.12,26,0,0,8479040,10,75578400,57259500,925827000,0
4,0,1,28,3,0,91,27573400000,0,17989,14,39,444,41,1212,14,0,5,0,41,18003,8037,7,0.23,26,1,0,8577120,10,61512900,57285800,928444000,0
4,0,1,30,3,0,88,27572700000,0,18433,14,39,434,142,1225,14,0,5,0,40,18447,8042,7,0.2,26,1,0,8241230,10,65221300,57339100,930759000,0
4,0,2,27,3,0,93,27572000000,0,18867,14,39,398,394,1258,14,0.502513,5,0,40,18881,8042,7,0.38,26,2,0,8886630,10,80914600,57373700,933261000,0
4,0,1,30,3,0,89,27571400000,0,19265,14,41,372,343,1273,14,0.268817,5,0,41,19279,8042,7,0.2,26,1,0,8354010,10,60562900,57431800,937763000,0
4,0,3,29,3,0,94,27570700000,0,19637,14,42,429,141,1294,14,0,5,0,42,19651,8042,7,0.29,26,3,0,8417550,10,66658000,57454300,939831000,0
4,0,4,33,3,0,88,27569800000,0,20066,14,42,425,156,1295,13,0,5,0,42,20080,8042,8,0.11,26,4,0,8312430,10,73121800,57471800,942813000,0
4,0,4,29,4,0,92,27568800000,0,20491,14,42,459,132,1355,13,0,5,0,42,20505,8042,7,0.04,26,4,0,8575710,10,73421000,57518200,947823000,0
4,0,1,27,3,0,87,27567800000,0,20950,14,42,430,235,1397,13,0,5,0,43,20964,8042,7,0.01,26,1,0,8628760,10,69577400,57548800,950243000,0
4,0,1,26,3,0,82,27567300000,0,21380,14,42,456,119,1427,14,0,5,0,43,21394,8042,7,0.32,26,1,0,8467080,10,75020300,57549200,952619000,0
4,0,1,26,3,0,83,27566500000,0,21836,14,42,436,136,1446,13,0.229358,5,0,43,21850,8042,7,0.52,26,1,0,8322180,10,72772400,57534300,955343000,0
4,0,1,26,3,0,84,27565800000,0,22272,14,43,441,122,1466,14,0,5,0,44,22286,8042,7,0.55,26,1,0,8418400,10,77390200,57542100,958390000,0
4,0,0,26,3,0,82,27565100000,0,22713,14,43,412,227,1512,14,0.242718,5,0,44,22727,8045,7,0.28,26,0,0,8550640,10,77754200,57657900,962920000,0
4,0,1,30,3,0,82,27564500000,0,23125,14,44,420,131,1545,14,0.238095,5,0,46,23139,8045,7,0.27,26,1,0,8490790,10,78851600,57658200,965173000,0
4,0,3,30,3,0,88,27563600000,0,23545,14,45,400,230,1598,15,0,4,0,48,23559,8045,8,0.1,26,3,0,8590370,10,69562600,57709700,967918000,0
4,0,1,28,3,0,85,27562700000,0,23945,14,45,364,331,1629,14,0,4,0,47,23959,8045,7,0.12,26,1,0,8527250,10,77613700,57717500,972198000,0
4,0,0,24,3,0,121,27562200000,0,24309,14,45,377,199,1604,14,0.265252,4,0,47,24323,8046,7,0.04,26,0,0,8649660,10,87677300,57757900,973627000,0
4,0,0,22,2,0,116,27561700000,0,24686,14,46,400,103,1592,15,0.25,4,0,48,24700,8046,7,0.06,26,0,0,8222450,10,78084100,57766200,974664000,0
4,0,0,24,3,0,81,27561300000,0,25086,14,47,477,26,1560,15,0,4,0,49,25100,8046,7,0.15,26,0,0,8318360,10,75179900,57768100,975995000,0
4,0,2,23,3,0,82,27560500000,0,25563,14,47,444,66,1553,15,0.225225,4,0,49,25577,8047,7,0.15,26,2,0,8249800,10,70744600,57779500,980287000,0
