HTTP_SYSTEM_ERROR,activeThreads,clients,cpu,fileDescriptors,free_disk_space,gc,http2xxNum,http4xxNum,http5xxNum,httpHitsRate,httpMeanTimes,httpSessions,httpSessionsMeanAge,httpSystemErrors,http_Cpu_Time_Sum,http_Error_Hits,http_Gobal_Hits,loadedClassesCount,runningThreads,systemLoad,threadCount,tomcatBusyThreads,tomcatBytesSent,usedConnections,usedMemory,usedNonHeapMemory,usedPhysicalMemorySize
6,200,215,1,968,23722700000,0,61413,2,32746,29,30931,164,12,0,1,32279,61415,8354,7,0.06,218,200,478643,289,312854000,65791700,1829180000
6,0,210,3,346,23718000000,0,61442,2,32746,585,119242,184,11,93.3333,1,32289,61444,8354,7,0.02,218,0,6690970,289,322389000,65791700,1839630000
6,74,210,1,420,23717700000,0,62027,2,33292,60,2163,195,11,25,1,32823,62029,8354,7,0.01,137,74,847774,289,255112000,65791700,1830960000
6,166,205,1,514,23717600000,0,62087,2,33307,37,4196,199,12,0,1,32844,62089,8354,7,0,185,166,616562,289,291581000,65791700,1826760000
6,200,195,1,882,23717500000,0,62197,2,33307,14,3434,207,13,0,1,32848,62199,8354,7,0,218,200,219892,289,272330000,65791700,1833880000
6,200,195,1,882,23717500000,0,62197,2,33307,14,3434,207,13,0,1,32848,62199,8354,7,0,218,200,219892,289,272330000,65791700,1833880000
6,200,195,1,882,23717500000,0,62197,2,33307,14,3434,207,13,0,1,32848,62199,8354,7,0,218,200,219892,289,272330000,65791700,1833880000
6,200,195,1,882,23717500000,0,62197,2,33307,14,3434,207,13,0,1,32848,62199,8354,7,0,218,200,219892,289,272330000,65791700,1833880000
6,176,195,2,529,23714100000,0,62211,2,33307,398,171033,212,13,94.7236,1,32845,62213,8354,7,0.72,218,176,4612430,289,231031000,65791700,1840130000
6,60,190,2,404,23711100000,0,62609,2,33684,361,4314,232,12,88.6427,1,33220,62611,8354,7,2.31,218,60,4352070,289,252188000,65791700,1848320000
6,108,190,1,452,23711100000,0,62970,2,34004,33,2969,246,12,0,1,33560,62972,8354,7,0.85,149,108,484758,289,285823000,65791700,1840520000
6,180,185,1,525,23710900000,0,63003,2,34004,41,2342,264,12,0,1,33558,63005,8354,7,0.31,199,180,626645,289,336184000,65791700,1836590000
6,200,175,1,828,23710800000,0,63088,2,34004,4,55263,273,15,0,1,33526,63090,8354,7,0.16,218,200,59973,289,313141000,65791700,1841550000
6,200,175,1,828,23710800000,0,63088,2,34004,4,55263,273,15,0,1,33526,63090,8354,7,0.16,218,200,59973,289,313141000,65791700,1841550000
6,200,175,1,828,23710800000,0,63088,2,34004,4,55263,273,15,0,1,33526,63090,8354,7,0.16,218,200,59973,289,313141000,65791700,1841550000
