cpu,http_times,session_count,thread_count,used_memory
3,379,556,6,80104864
3,500,657,13,69177592
5,76,704,12,80492040
5,16,751,13,67387344
1,15,767,6,74282808
4,485,897,13,80437632
4,445,1041,11,84191312
4,102,1104,15,72145144
4,31,1131,15,89017792
4,87,1157,19,87533032
3,736,1205,17,76211024
2,302,1234,22,73379816
3,267,1269,20,75039888
4,35,1295,19,91956032
4,17,1328,21,78383200
4,135,1381,19,80667104
4,211,1414,22,70870104
4,29,1450,23,97945488
5,87,1508,21,100143008
5,435,1637,33,98133464
5,799,1786,29,81768928
4,380,1860,33,107290744
4,226,1895,32,78935072
4,188,1928,31,95842640
4,180,1849,35,101472600
4,21,1788,31,95888712
4,123,1716,30,89036808
4,753,1636,38,93184720
3,1042,1682,38,100241288
3,1278,1669,36,94698632
2,753,1639,36,94298232
3,1677,1525,38,80763400
4,342,1598,40,68117456
3,282,1591,37,70645960
3,91,1593,41,74325808
4,89,1626,40,64441952
3,149,1515,42,89800408
3,105,1407,39,92381936
4,327,1379,36,88896832
4,176,1400,44,95227288
4,212,1418,35,73823752
3,212,1390,38,96414320
3,325,1418,40,101804688
4,238,1466,37,84618512
4,220,1515,37,98102528
4,338,1580,39,94222240
4,411,1606,46,102933912
4,366,1672,43,102697888
3,558,1734,46,87050728
4,465,1730,44,103445360
3,301,1630,49,87317304
3,78,1541,47,85830752
4,330,1550,53,97547800
3,538,1586,46,76827136
3,568,1621,47,83868192
3,823,1653,50,77789128
3,1123,1681,49,88008544
3,336,1690,50,113482832
3,659,1701,52,98061008
3,288,1723,52,113668056
3,803,1766,50,83102592
3,603,1822,48,117661360
3,650,1848,55,104107584
3,392,1878,48,100299216
3,301,1902,49,118682896
3,367,1948,54,92567832
3,402,1971,50,117887800
3,325,2000,57,114524176
3,211,2029,54,98567680
3,463,2074,47,123058016
3,63,2117,55,88229496
3,288,2125,52,112354280
3,363,2147,56,101718584
4,263,2179,55,103505104
3,418,2180,58,109356056
4,563,2212,60,106541776
4,737,2223,57,109606184
3,536,2224,58,101443424
3,697,2230,56,105127216
3,612,2207,53,131022768
3,311,2234,52,123349496
3,128,2276,61,128478048
3,330,2313,55,100354928
6,296,2365,56,99545128
6,526,2374,60,96071656
3,318,2405,58,110403120
3,298,2425,64,131975352
3,529,2481,57,113896968
3,482,2533,59,131001824
3,392,2551,61,123435848
3,533,2550,56,111023888
3,426,2556,58,109067152
3,145,2529,57,118475168
3,627,2553,57,85436144
3,473,2556,61,107680272
3,417,2568,63,84041072
3,469,2596,64,83438552
3,541,2606,63,92769720
3,645,2620,61,84626304
4,623,2625,61,95965512
3,640,2622,60,111880736
4,891,2620,58,90043448
3,722,2632,65,132453912
3,569,2627,61,105599512
3,579,2613,64,92804296
3,426,2590,56,117549840
3,185,2544,66,119560664
3,305,2521,60,88878352
3,672,2521,62,133503000
3,593,2523,64,94506664
3,654,2511,71,96595192
2,732,2491,56,136684672
3,472,2497,69,114589176
3,502,2492,62,112186088
3,260,2456,69,105046688
3,346,2446,70,135662728
3,133,2413,72,138424144
