ID,地区统一编码,产品名称,煤种编码,品种编码,煤炭用途编码,灰份,挥发分,硫份,发热量,粘结指数,水份,粒度,胶质层厚度,哈氏可磨指数,奥亚膨胀度,价格单位,数据周期编码,数据来源编码,数据时间,低位价格,高位价格
1731217,大同市,弱粘煤,弱黏煤,原煤,动力煤,"[10,16)","[28,32)","[0.8,0.8)","[6000,6000)",,,,,,,元/吨,周度,中国煤炭市场网,2015/1/5,365.00,410.00
1731218,大同南郊,弱粘煤,弱黏煤,原煤,动力煤,"[10,16)","[28,32)","[0.8,0.8)","[5500,5500)",,,,,,,元/吨,周度,中国煤炭市场网,2015/1/5,340.00,365.00
1731219,大同矿区,弱粘煤,弱黏煤,原煤,动力煤,"[15,15)","[34,34)","[0.6,0.6)","[5800,5800)",,,,,,,元/吨,周度,中国煤炭市场网,2015/1/5,345.00,390.00
1731220,左云县,弱粘煤,弱黏煤,原煤,动力煤,"[12,13)","[36,37)","[0.8,0.8)","[6000,6000)",,,,,,,元/吨,周度,中国煤炭市场网,2015/1/5,365.00,400.00
1731221,新荣区,弱粘煤,弱黏煤,原煤,动力煤,"[17,18)","[28,32)","[0.8,1)","[5700,5700)",,,,,,,元/吨,周度,中国煤炭市场网,2015/1/5,345.00,390.00
1731222,浑源县,长焰煤,一般烟煤,原煤,动力煤,"[19,19)","[30,45)","[0.8,0.8)","[5600,5600)",,,,,,,元/吨,周度,中国煤炭市场网,2015/1/5,340.00,365.00
1731223,朔州市,气煤,气煤,原煤,炼焦煤,"[21,27)","[30,38)","[0.8,1)","[4800,5300)","[32,32)",,,,,,元/吨,周度,中国煤炭市场网,2015/1/5,215.00,230.00
1731225,怀仁县,气煤,气煤,原煤,炼焦煤,"[28,28)","[32,34)","[1,1)","[4800,5300)","[35,35)",,,,,,元/吨,周度,中国煤炭市场网,2015/1/5,200.00,220.00
1731226,平鲁区,气煤,气煤,原煤,炼焦煤,"[21,27)","[35,37)","[0.8,1)","[4800,5300)","[21,21)",,,,,,元/吨,周度,中国煤炭市场网,2015/1/5,220.00,235.00
1731227,右玉县,气煤,气煤,原煤,炼焦煤,"[18,20)","[36,38)","[1.1,1.5)","[5500,6000)","[21,21)",,,,,,元/吨,周度,中国煤炭市场网,2015/1/5,270.00,285.00
1731228,山阴县,气煤,气煤,原煤,炼焦煤,"[16,18)","[36,38)","[1.2,1.3)","[5800,6300)","[25,25)",,,,,,元/吨,周度,中国煤炭市场网,2015/1/5,345.00,365.00
1731229,河曲县,长焰煤,一般烟煤,原煤,动力煤,"[20,25)","[37,39)","[1.2,1.8)","[6100,6100)","[15,15)",,,,,,元/吨,周度,中国煤炭市场网,2015/1/5,260.00,290.00
1732613,张家口市,烟煤,一般烟煤,原煤,动力煤,"[23,25)","[16.4,16.4)","[0.8,0.8)","[4500,4500)",,,,,,,元/吨,周度,中国煤炭市场网,2015/1/5,305.00,320.00
1733412,鹤岗市,气煤,气煤,原煤,炼焦煤,"[18,28)","[37.6,37.6)","[0.6,0.6)",,"[51,51)",,,,,,元/吨,周度,中国煤炭市场网,2015/1/5,525.00,540.00
c,黄陵县,动力煤,一般烟煤,原煤,动力煤,"[26,32)","[32,32)","[0.5,0.5)","[5000,5000)",,,,,,,元/吨,周度,中国煤炭市场网,2015/1/5,310.00,320.00
1734781,宜宾市,烟煤,一般烟煤,原煤,动力煤,"[21,31)","[17,17)","[1.5,1.5)","[5000,5000)",,,,,,,元/吨,周度,中国煤炭市场网,2015/1/5,425.00,440.00
1734791,盂县,贫煤,贫煤,原煤,动力煤,"[20,23)","[11,13)","[0.5,0.7)","[5800,5800)","[10,10)",,,,,,元/吨,周度,中国煤炭市场网,2015/1/5,370.00,390.00
1734792,平定县,贫煤,贫煤,原煤,动力煤,"[18,20)","[10,13)","[1,1)","[6000,6000)",,,,,,,元/吨,周度,中国煤炭市场网,2015/1/5,360.00,380.00
1734794,潞城市,贫煤,贫煤,原煤,动力煤,"[17,17)","[14,14)","[2,2)","[5500,5500)",,,,,,,元/吨,周度,中国煤炭市场网,2015/1/5,360.00,375.00
1734795,长治市,瘦煤,瘦煤,原煤,炼焦煤,"[23,23)","[16.92,16.92)","[0.3,0.3)","[5300,5800)","[18,18)",,,,,,元/吨,周度,中国煤炭市场网,2015/1/5,365.00,385.00
1734796,长治市,瘦煤,瘦煤,原煤,炼焦煤,"[17,17)","[11,14)","[2,2)","[5800,5800)","[38,38)",,,,,,元/吨,周度,中国煤炭市场网,2015/1/5,350.00,370.00
1734797,屯留县,贫瘦煤,贫瘦煤,原煤,动力煤,"[14,18)","[14,17)","[0.35,0.35)","[5500,6000)","[18,18)",,,,,,元/吨,周度,中国煤炭市场网,2015/1/5,365.00,385.00
