value,anomaly_score,label,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate,S(t)_standard
19.7612519,0.5,0,0,0,0
20.50083329,0.5,0,0,0,0
19.96164144,0.5,0,0,0,0
21.49026607,0.5,0,0,0,0
20.18773941,0.5,0,0,0,0
19.92312567,0.5,0,0,0,0
21.69840396,0.5,0,0,0,0
20.87875838,0.5,0,0,0,0
18.44619963,0.5,0,0,0,0
18.71081784,0.5,0,0,0,0
21.14849145,0.5,0,0,0,0
21.34340528,0.5,0,0,0,0
20.18076332,0.5,0,0,0,0
20.21782091,0.5,0,0,0,0
20.52773185,0.5,0,0,0,0
19.7564631,0.5,0,0,0,0
20.72079649,0.5,0,0,0,0
18.43392503,0.5,0,0,0,0
21.84511697,0.5,0,0,0,0
21.0006193,0.5,0,0,0,0
20.52469682,0.5,0,0,0,0
19.26528823,0.5,0,0,0,0
18.64382195,0.5,0,0,0,0
19.63737186,0.5,0,0,0,0
20.64630696,0.5,0,0,0,0
20.53483897,0.5,0,0,0,0
19.53056462,0.5,0,0,0,0
20.45314558,0.5,0,0,0,0
21.25499318,0.5,0,0,0,0
18.10513909,0.5,0,0,0,0
19.80248419,0.5,0,0,0,0
21.03422091,0.5,0,0,0,0
20.18457788,0.5,0,0,0,0
20.60590435,0.5,0,0,0,0
20.06670557,0.5,0,0,0,0
21.96749818,0.5,0,0,0,0
18.21848615,0.5,0,0,0,0
19.96417929,0.5,0,0,0,0
18.3656662,0.5,0,0,0,0
18.63914225,0.5,0,0,0,0
19.5321534,0.5,0,0,0,0
18.62216037,0.5,0,0,0,0
21.85474866,0.5,0,0,0,0
21.78715911,0.5,0,0,0,0
19.34443858,0.5,0,0,0,0
20.55899085,0.5,0,0,0,0
20.13501328,0.5,0,0,0,0
21.26234792,0.5,0,0,0,0
20.50978244,0.5,0,0,0,0
18.00100982,0.5,0,0,0,0
21.05269754,0.5,0,0,0,0
20.98739249,0.5,0,0,0,0
20.03889082,0.5,0,0,0,0
21.61167589,0.5,0,0,0,0
21.63378482,0.5,0,0,0,0
20.09564671,0.5,0,0,0,0
20.43195292,0.5,0,0,0,0
21.98608829,0.5,0,0,0,0
19.19528094,0.5,0,0,0,0
19.29846897,0.5,0,0,0,0
18.73109561,0.5,0,0,0,0
21.58346776,0.5,0,0,0,0
20.97795356,0.5,0,0,0,0
18.4225714,0.5,0,0,0,0
21.9270694,0.5,0,0,0,0
20.92384683,0.5,0,0,0,0
21.40208844,0.5,0,0,0,0
18.19260316,0.5,0,0,0,0
20.01984368,0.5,0,0,0,0
20.79439315,0.5,0,0,0,0
20.17178634,0.5,0,0,0,0
20.66658986,0.5,0,0,0,0
21.27149625,0.5,0,0,0,0
19.49734825,0.5,0,0,0,0
21.3946747,0.5,0,0,0,0
18.65166442,0.5,0,0,0,0
19.08354422,0.5,0,0,0,0
18.17338248,0.5,0,0,0,0
19.45770725,0.5,0,0,0,0
19.51963818,0.5,0,0,0,0
21.22108239,0.5,0,0,0,0
20.61252268,0.5,0,0,0,0
19.74689023,0.5,0,0,0,0
20.60845591,0.5,0,0,0,0
18.2111334,0.5,0,0,0,0
18.72108614,0.5,0,0,0,0
20.50779142,0.5,0,0,0,0
20.56546728,0.5,0,0,0,0
21.09653863,0.5,0,0,0,0
19.61199904,0.5,0,0,0,0
20.89021639,0.5,0,0,0,0
20.73592133,0.5,0,0,0,0
21.85357351,0.5,0,0,0,0
18.86052091,0.5,0,0,0,0
20.20671826,0.5,0,0,0,0
20.40705777,0.5,0,0,0,0
21.99459154,0.5,0,0,0,0
18.80473657,0.5,0,0,0,0
20.09287208,0.5,0,0,0,0
19.38474123,0.5,0,0,0,0
20.10357187,0.5,0,0,0,0
18.92851441,0.5,0,0,0,0
18.19044951,0.5,0,0,0,0
20.29026182,0.5,0,0,0,0
19.34341726,0.5,0,0,0,0
18.72776561,0.5,0,0,0,0
19.29574226,0.5,0,0,0,0
18.19712081,0.5,0,0,0,0
74.12601438,0.5,0,0,0,0
69.10361164,0.5,0,0,0,0
72.28085407,0.5,0,0,0,0
66.95440749,0.5,0,0,0,0
73.48507948,0.5,0,0,0,0
67.77312781,0.5,0,0,0,0
69.00565638,0.5,0,0,0,0
67.88839813,0.5,0,0,0,0
71.17258482,0.5,0,0,0,0
68.90652266,0.5,0,0,0,0
64.89374536,0.5,0,0,0,0
63.17933763,0.5,0,0,0,0
79.24705052,0.5,0,0,0,0
77.432073,0.5,0,0,0,0
71.32954281,0.5,0,0,0,0
75.97998307,0.5,0,0,0,0
77.82933007,0.5,0,0,0,0
82.67338299,0.5,0,0,0,0
71.02108839,0.5,0,0,0,0
75.2486478,0.5,0,0,0,0
82.60762302,0.5,0,0,0,0
79.90353942,0.5,0,0,0,0
74.34015315,0.5,0,0,0,0
82.95960109,0.5,0,0,0,0
79.41334111,0.5,0,0,0,0
79.49378848,0.5,0,0,0,0
87.09964504,0.5,0,0,0,0
86.63094087,0.5,0,0,0,0
77.2701038,0.5,0,0,0,0
73.80377046,0.5,0,0,0,0
76.74740371,0.5,0,0,0,0
72.05280577,0.5,0,0,0,0
71.89829247,0.5,0,0,0,0
77.85838405,0.5,0,0,0,0
86.53397926,0.5,0,0,0,0
85.42606716,0.5,0,0,0,0
80.08686564,0.5,0,0,0,0
80.94636975,0.5,0,0,0,0
72.00842202,0.5,0,0,0,0
75.35748087,0.5,0,0,0,0
72.30951037,0.5,0,0,0,0
83.97174536,0.5,0,0,0,0
74.24113634,0.5,0,0,0,0
85.80166794,0.5,0,0,0,0
82.19443719,0.5,0,0,0,0
75.57989399,0.5,0,0,0,0
74.43409684,0.5,0,0,0,0
81.94354482,0.5,0,0,0,0
86.39265247,0.5,0,0,0,0
83.473725,0.5,0,0,0,0
77.55812801,0.5,0,0,0,0
81.37860197,0.5,0,0,0,0
76.9537138,0.5,0,0,0,0
87.96527633,0.5,0,0,0,0
83.96127147,0.5,0,0,0,0
81.81046701,0.5,0,0,0,0
78.75324097,0.5,0,0,0,0
81.87078294,0.5,0,0,0,0
77.44726519,0.5,0,0,0,0
72.44444659,0.5,0,0,0,0
78.31765693,0.5,0,0,0,0
86.8835225,0.5,0,0,0,0
82.01688052,0.5,0,0,0,0
73.33977077,0.5,0,0,0,0
86.15576214,0.5,0,0,0,0
76.29833509,0.5,0,0,0,0
75.89666867,0.5,0,0,0,0
76.74977133,0.5,0,0,0,0
81.23133649,0.5,0,0,0,0
80.71113517,0.5,0,0,0,0
79.85878667,0.5,0,0,0,0
83.47658275,0.5,0,0,0,0
77.06386388,0.5,0,0,0,0
84.51222102,0.5,0,0,0,0
74.80442872,0.5,0,0,0,0
84.52112121,0.5,0,0,0,0
82.62016852,0.5,0,0,0,0
82.93053681,0.5,0,0,0,0
79.70408919,0.5,0,0,0,0
82.67123087,0.5,0,0,0,0
73.27604929,0.5,0,0,0,0
85.62399587,0.5,0,0,0,0
72.888056,0.5,0,0,0,0
74.37915011,0.5,0,0,0,0
81.22847938,0.5,0,0,0,0
83.83042233,0.5,0,0,0,0
73.21988445,0.5,0,0,0,0
86.7320705,0.5,0,0,0,0
87.57755423,0.5,0,0,0,0
81.69504591,0.5,0,0,0,0
79.69974226,0.5,0,0,0,0
83.86215854,0.5,0,0,0,0
77.25356931,0.5,0,0,0,0
79.89207755,0.5,0,0,0,0
86.65825004,0.5,0,0,0,0
87.29031921,0.5,0,0,0,0
86.83307251,0.5,0,0,0,0
76.19913981,0.5,0,0,0,0
75.71947557,0.5,0,0,0,0
76.76260262,0.5,0,0,0,0
79.06094744,0.5,0,0,0,0
77.02664903,0.5,0,0,0,0
77.98737478,0.5,0,0,0,0
81.93015977,0.5,0,0,0,0
84.2003785,0.5,0,0,0,0
83.76889901,0.5,0,0,0,0
85.03074442,0.5,0,0,0,0
72.51492261,0.5,0,0,0,0
29.10549067,0.5,0,0,0,0
33.85204445,0.5,0,0,0,0
32.21169828,0.5,0,0,0,0
32.50009407,0.5,0,0,0,0
29.13655031,0.5,0,0,0,0
30.43400248,0.5,0,0,0,0
32.88546124,0.5,0,0,0,0
34.29875751,0.5,0,0,0,0
34.66868709,0.5,0,0,0,0
32.00267863,0.5,0,0,0,0
32.29102889,0.5,0,0,0,0
34.13151109,0.5,0,0,0,0
22.56855697,0.5,0,0,0,0
22.47552496,0.5,0,0,0,0
24.21477516,0.5,0,0,0,0
23.69889729,0.5,0,0,0,0
24.23264359,0.5,0,0,0,0
21.13774565,0.5,0,0,0,0
22.50920095,0.5,0,0,0,0
23.93427382,0.5,0,0,0,0
20.65794113,0.5,0,0,0,0
23.72008515,0.5,0,0,0,0
20.97971961,0.5,0,0,0,0
23.78037072,0.5,0,0,0,0
20.93875559,0.5,0,0,0,0
19.22349439,0.5,0,0,0,0
20.37085847,0.5,0,0,0,0
21.22508331,0.5,0,0,0,0
21.02826123,0.5,0,0,0,0
20.18200427,0.5,0,0,0,0
