value,value,value,value,value
0,20,-21.04838268,19.7612519,18.09048623
0,0,-20.29547687,20.50083329,20.35984259
0,0,-18.12722947,19.96164144,21.10546985
0,0,-20.1716654,21.49026607,21.15158525
0,0,-21.22376161,20.18773941,18.13714054
0,0,-19.10449113,19.92312567,21.62566053
0,20,-21.5894465,21.69840396,21.67380669
0,0,-18.94504163,20.87875838,20.24556149
0,0,-18.30589253,18.44619963,19.9283328
0,0,-18.63975724,18.71081784,18.17946985
0,0,-21.34801147,21.14849145,20.24781657
0,0,-19.66922368,21.34340528,19.63751633
0,0,-21.18778225,20.18076332,21.09122563
0,0,-20.12493224,20.21782091,19.61553427
0,0,-19.9222365,20.52773185,20.73432333
0,0,-21.22765261,19.7564631,18.40563259
0,0,-19.69395045,20.72079649,18.53180908
0,0,-21.20813092,18.43392503,18.55884076
0,0,-18.40264866,21.84511697,18.182102
0,0,-20.54524326,21.0006193,20.16531544
0,0,-20.81034823,20.52469682,21.1758709
0,0,-21.59638958,19.26528823,20.44164481
0,0,-18.89729567,18.64382195,20.29981954
0,0,-20.41687952,19.63737186,20.72249571
0,0,-19.73302625,20.64630696,19.35858129
0,0,-19.53108662,20.53483897,19.44781629
0,0,-18.42685422,19.53056462,19.25708039
0,0,-18.53693332,20.45314558,20.84843573
0,0,-21.34795385,21.25499318,18.64656134
0,0,-20.99901373,18.10513909,18.05210112
0,0,-19.52936452,19.80248419,20.38478579
0,0,-21.31394633,21.03422091,21.76952546
0,0,-18.32306474,20.18457788,20.43763167
0,0,-20.49909567,20.60590435,21.13168661
0,0,-21.47270421,20.06670557,20.69116284
0,0,-21.35545692,21.96749818,19.98974661
0,0,-19.49113104,18.21848615,20.87356961
0,0,-20.98093541,19.96417929,21.2964165
0,0,-19.70987258,18.3656662,18.89892658
0,0,-21.36055266,18.63914225,19.34452192
0,0,-20.1230478,19.5321534,18.89490293
0,0,-21.0594282,18.62216037,19.80869182
0,0,-18.31428633,21.85474866,21.5402582
0,0,-20.36010389,21.78715911,19.3808284
0,0,-20.20113671,19.34443858,19.49786756
0,0,-20.43990689,20.55899085,21.44146894
0,0,-20.78256643,20.13501328,20.06149732
0,0,-21.67243588,21.26234792,20.141796
0,0,-21.14272833,20.50978244,21.44320481
0,0,-18.87855197,18.00100982,19.96210695
0,0,-21.30358508,21.05269754,20.72623014
0,0,-18.48831871,20.98739249,18.34257866
0,0,-20.48879434,20.03889082,18.71452685
0,0,-21.53101523,21.61167589,19.6175048
0,0,-18.40448822,21.63378482,19.97935627
0,0,-21.39877061,20.09564671,21.8629348
0,0,-21.19448294,20.43195292,21.88260653
0,0,-20.01510174,21.98608829,21.40478835
0,0,-19.23559041,19.19528094,19.26239534
0,0,-19.62175291,19.29846897,21.85611316
0,0,-21.87463254,18.73109561,20.75736346
