id,timestamp,url,message_type,message_class,message_content
1,1487260935715 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2WeixinResourceManager],[Weixintokencheck]Non-positiveexpirationtoken.Checkpassed.
2,1487261098140 ,/service/charting/resource/image?path=/book/layout/layout9.png GET,ERROR,[com.neusoft.saca.dataviz.charting.controller.ResourceController],Filecopyerror:/book/layout/layout9.png
3,1487261126667 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2WeixinResourceManager],[Weixintokencheck]Non-positiveexpirationtoken.Checkpassed.
4,1487261756110 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
5,1487261771669 ,/service/resource/sharing/resource?code=275249f71b9d074e ajax GET,ERROR,[com.neusoft.chartsshow.books.controller.ResourceSharingController],�?要登录\n
6,1487261841626 ,/service/resource/sharing/resource?code=275249f71b9d074e ajax GET,ERROR,[com.neusoft.chartsshow.books.controller.ResourceSharingController],�?要登录\n
7,1487262258794 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2WeixinResourceManager],[Weixintokencheck]Non-positiveexpirationtoken.Checkpassed.
8,1487262701358 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2WeixinResourceManager],[Weixintokencheck]Non-positiveexpirationtoken.Checkpassed.
9,1487262789315 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
10,1487262972742 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2WeixinResourceManager],[Weixintokencheck]Non-positiveexpirationtoken.Checkpassed.
11,1487263009780 ,/service/user/binding/verifycode ajax POST,ERROR,[com.neusoft.chartsshow.security.user.controller.UserBindingsController],账号已使用\n
12,1487263018997 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2WeixinResourceManager],[Weixintokencheck]Non-positiveexpirationtoken.Checkpassed.
13,1487263044589 ,/service/registration/getcode ajax POST,ERROR,[com.neusoft.chartsshow.security.user.controller.RegistrationController],校验码错误，请重新输入\n
14,1487263046661 ,/service/user/binding/verifycode ajax POST,ERROR,[com.neusoft.chartsshow.security.user.controller.UserBindingsController],账号已使用\n
15,1487263065740 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2WeixinResourceManager],[Weixintokencheck]Non-positiveexpirationtoken.Checkpassed.
16,1487263172355 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2WeixinResourceManager],[Weixintokencheck]Non-positiveexpirationtoken.Checkpassed.
17,1487263515784 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2WeixinResourceManager],[Weixintokencheck]Non-positiveexpirationtoken.Checkpassed.
18,1487263874433 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2WeixinResourceManager],[Weixintokencheck]Non-positiveexpirationtoken.Checkpassed.
19,1487263942264 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2QQResourceManager],[QQtokencheck]Non-positiveexpirationtoken.Checkpassed.
20,1487263964050 ,/service/user/info ajax GET,WARN,[com.neusoft.chartsshow.security.user.service.external.OAuth2WeixinResourceManager],[Weixintokencheck]Non-positiveexpirationtoken.Checkpassed.
