timestamp,value
1,"1487290185232	100"
2,"1487290485243	100"
3,"1487290785245	100"
4,"1487291085255	100"
5,"1487291385264	100"
6,"1487291685275	100"
7,"1487291985285	100"
8,"1487292285287	100"
9,"1487292585297	100"
10,"1487292885308	100"
11,"1487293185314	100"
12,"1487293485319	100"
13,"1487293785330	100"
14,"1487294085341	100"
15,"1487294385351	100"
16,"1487294685353	100"
17,"1487294985364	100"
18,"1487295285372	100"
19,"1487295585379	100"
20,"1487295885387	100"
21,"1487296185396	100"
22,"1487296485407	100"
23,"1487296785413	100"
24,"1487297085434	100"
25,"1487297385431	20"
26,"1487297685445	6"
27,"1487297985446	5"
28,"1487298285453	23"
29,"1487298585466	12"
30,"1487298885474	1"
31,"1487299185480	9"
32,"1487299485492	8"
33,"1487299785501	1"
34,"1487300085504	8"
35,"1487300385523	8"
36,"1487300685525	10"
37,"1487300985529	10"
38,"1487301285538	9"
39,"1487301585546	0"
40,"1487301885557	20"
41,"1487302185563	2"
42,"1487302485571	6"
43,"1487302785579	11"
44,"1487303085593	6"
45,"1487303385595	10"
46,"1487303685603	8"
47,"1487303985632	9"
48,"1487304285627	11"
49,"1487304585630	1"
50,"1487304885637	10"
51,"1487305185646	5"
52,"1487305485656	2"
53,"1487305785665	5"
54,"1487306085672	4"
55,"1487306385678	2"
56,"1487306685689	3"
57,"1487306985696	3"
58,"1487307285703	3"
59,"1487307585712	4"
60,"1487307885723	5"
61,"1487308187162	4"
62,"1487308485739	1"
63,"1487308785749	4"
64,"1487309085755	3"
65,"1487309385761	2"
66,"1487309685771	4"
67,"1487309985778	5"
68,"1487310285787	1"
69,"1487310585799	2"
70,"1487310885805	8"
71,"1487311185812	8"
72,"1487311485820	7"
73,"1487311785832	6"
74,"1487312085837	6"
75,"1487312385847	7"
76,"1487312685856	39"
77,"1487312985862	8"
78,"1487313285873	9"
79,"1487313585886	10"
80,"1487313885916	10"
81,"1487314185896	9"
82,"1487314485903	10"
83,"1487314785954	10"
84,"1487315085922	11"
85,"1487315385929	7"
86,"1487315685939	8"
87,"1487315985946	11"
88,"1487316285955	9"
89,"1487316585964	10"
90,"1487316885971	7"
91,"1487317186009	8"
92,"1487317485990	8"
93,"1487317786004	9"
94,"1487318086005	9"
95,"1487318386013	24"
96,"1487318686024	7"
97,"1487318986029	8"
98,"1487319286037	10"
99,"1487319586050	6"
100,"1487319886055	7"
101,"1487320186094	7"
102,"1487320486074	9"
103,"1487320786078	2"
104,"1487321086089	9"
105,"1487321386100	10"
106,"1487321686105	8"
107,"1487321986116	7"
108,"1487322286124	11"
109,"1487322586133	9"
110,"1487322886162	7"
111,"1487323186148	6"
112,"1487323486205	7"
113,"1487323786170	7"
114,"1487324086174	7"
115,"1487324386180	6"
116,"1487324686189	7"
117,"1487324986199	3"
118,"1487325286207	6"
119,"1487325586214	3"
120,"1487325886221	4"
121,"1487326186239	6"
122,"1487326486237	4"
123,"1487326786257	3"
124,"1487327086552	3"
125,"1487327386266	2"
126,"1487327686275	2"
127,"1487327986280	2"
128,"1487328286295	3"
129,"1487328586296	1"
130,"1487328886308	2"
131,"1487329186337	1"
132,"1487329486367	2"
133,"1487329786329	1"
134,"1487330086340	1"
135,"1487330386352	3"
136,"1487330686355	2"
137,"1487330986373	1"
138,"1487331286374	1"
139,"1487331586396	1"
140,"1487331886390	2"
141,"1487332186399	2"
142,"1487332486410	1"
143,"1487332786413	4"
144,"1487333086422	3"
145,"1487333386428	4"
146,"1487333686441	4"
147,"1487333986451	2"
148,"1487334286455	1"
149,"1487334586467	2"
150,"1487334886471	1"
151,"1487335186483	2"
152,"1487335486500	1"
153,"1487335786497	1"
154,"1487336086511	1"
155,"1487336386514	1"
156,"1487336686521	2"
157,"1487336986553	1"
158,"1487337286542	3"
159,"1487337586554	1"
160,"1487337886554	2"
161,"1487338186563	2"
162,"1487338486571	1"
163,"1487338786582	2"
164,"1487339086594	2"
165,"1487339386598	1"
166,"1487339686603	2"
167,"1487339986614	2"
168,"1487340286623	2"
169,"1487340586632	3"
170,"1487340886639	4"
171,"1487341186646	3"
172,"1487341486655	3"
173,"1487341786664	1"
174,"1487342086672	1"
175,"1487342386679	2"
176,"1487342686688	2"
177,"1487342986700	2"
178,"1487343286708	4"
179,"1487343586713	2"
180,"1487343886722	2"
181,"1487344186732	2"
182,"1487344486738	2"
183,"1487344786746	1"
184,"1487345086755	3"
185,"1487345386764	2"
186,"1487345686775	2"
187,"1487345986783	2"
188,"1487346286792	1"
189,"1487346586801	2"
190,"1487346886806	1"
191,"1487347186816	2"
192,"1487347486824	1"
193,"1487347786835	2"
194,"1487348086840	1"
195,"1487348386850	1"
196,"1487348686945	1"
197,"1487348986957	1"
198,"1487349286960	1"
199,"1487349586969	0"
200,"1487349886978	2"
201,"1487350186989	1"
202,"1487350486994	1"
203,"1487350787004	1"
204,"1487351087012	2"
205,"1487351387020	1"
206,"1487351687030	0"
207,"1487351987036	0"
208,"1487352287045	1"
209,"1487352587054	1"
210,"1487352887061	1"
211,"1487353187070	0"
212,"1487353487078	1"
213,"1487353787101	0"
214,"1487354087094	0"
215,"1487354387106	0"
216,"1487354687111	0"
217,"1487354987121	0"
218,"1487355287129	1"
219,"1487355587052	2"
220,"1487355887057	1"
221,"1487356187064	1"
222,"1487356487072	1"
223,"1487356787080	1"
224,"1487357087094	1"
225,"1487357387097	0"
226,"1487357687107	1"
227,"1487357987114	1"
228,"1487358287125	0"
229,"1487358587133	1"
230,"1487358887143	0"
231,"1487359187151	1"
232,"1487359487157	1"
233,"1487359787164	1"
234,"1487360087172	0"
235,"1487360387189	1"
236,"1487360687189	1"
